Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"8月 18, 2017",0,0,0,0,0,1,0,1,0,0,0,1
"8月 25, 2017",1,0,0,0,1,1,0,1,0,1,0,0
"9月 01, 2017",0,0,1,1,0,1,0,0,1,1,0,0
"9月 08, 2017",0,1,1,1,0,0,0,0,1,1,0,0
"9月 15, 2017",1,0,1,1,0,0,0,0,1,0,1,0
"9月 22, 2017",1,0,0,0,1,0,1,0,1,0,1,0
"9月 29, 2017",0,0,0,0,1,1,1,0,0,0,1,0
"10月 06, 2017",1,0,0,0,1,0,1,0,0,0,0,1
"10月 13, 2017",0,0,0,0,1,1,0,1,0,1,0,0
"10月 20, 2017",1,0,1,1,0,0,0,0,1,0,0,0
"10月 27, 2017",0,0,0,0,0,0,0,0,0,1,0,0
"11月 03, 2017",1,0,1,1,0,1,0,0,1,1,1,0
"11月 10, 2017",1,1,1,1,1,0,1,0,0,0,0,1
"11月 17, 2017",1,0,0,0,1,1,0,1,0,0,1,1
"11月 24, 2017",1,0,0,0,1,1,1,1,0,0,1,1
"12月 01, 2017",1,0,0,0,1,0,1,1,0,0,1,0
"12月 08, 2017",0,0,0,0,1,1,1,0,0,0,1,1
"12月 15, 2017",1,0,0,0,1,0,1,1,0,0,1,1
"12月 22, 2017",1,0,0,0,1,0,1,1,0,0,1,1
"12月 29, 2017",1,0,0,0,1,1,1,1,0,0,1,1
"1月 05, 2018",0,1,0,0,1,0,1,1,0,0,1,0
"1月 12, 2018",0,0,0,0,1,1,1,0,0,0,1,1
"1月 19, 2018",0,0,0,0,1,0,1,1,1,1,0,0
"1月 26, 2018",0,0,1,1,0,0,0,0,1,1,1,1
